Region,Districts
California,29
Texas,21
Florida,16
New York,15
Pennsylvania,9
Illinois,9
Ohio,8
Georgia,7
North Carolina,7
Michigan,7
New Jersey,7
Virginia,6
Washington,6
Arizona,5
Massachusetts,5
Tennessee,5
Indiana,5
Maryland,5
Missouri,4
Wisconsin,4
Colorado,4
Minnesota,4
South Carolina,4
Alabama,4
Louisiana,4
Kentucky,3
Oregon,3
Oklahoma,3
Connecticut,3
Territories,3
Utah,3
Iowa,3
Nevada,3
Arkansas,2
Mississippi,2
Kansas,2
New Mexico,2
Nebraska,2
Idaho,2
West Virginia,2
Hawaii,1
New Hampshire,1
Maine,1
Rhode Island,1
Montana,1
Delaware,1
South Dakota,1
North Dakota,1
Alaska,1
District of Columbia,1
Vermont,1
Wyoming,1